N°;Désignation;Code Barre;Référence;Unité;Prix de Vente;Niveau d'Alerte;Stock Boutique;Stock Atelier;Stock Magasin1;Stock Magasin2;Stock Magasin3;Qté par Carton;Prix Achat Carton;Prix Achat Unitaire
1;HUILE AYA VEGETALE 90CL;6186000195053;;BIDON;1 500,00;5;13,00;0,00;0,00;0,00;0,00;0;0;1334
2;HUILE AYA VEGETALE 45CL;6186000195008;;BIDON;750,00;5;13,00;0,00;0,00;0,00;0,00;0;0;667
3;HUILE AYA VEGETALE 5L;6186000195251;;BIDON;7 200,00;2;7,00;0,00;4,00;0,00;0,00;0;0;6625
4;SIROP MENTHE 100CL;3014400003032;;BOUTEILLE;2 300,00;2;6,00;0,00;0,00;0,00;0,00;0;0;2084
5;VEGA MOUTARDE DE 370G;8886409508376;;BOITE;1 000,00;4;0,00;0,00;0,00;0,00;0,00;0;0;834
6;DAFANI MANGUE 0.5L;9504000004002;;UNITE;750,00;10;1,00;0,00;0,00;0,00;0,00;0;0;584
7;DAFANI COCKTAIL DE 1L;9504000004149;;BIDON;1 500,00;5;12,00;0,00;0,00;0,00;0,00;0;0;1000
8;VEGA POIS DE 800G;8886409518504;;BOITE;1 100,00;2;1,00;0,00;0,00;0,00;0,00;0;0;875
9;NURSIE N°3 DE 400G;10487533;;BOITE;3 500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;3167
10;NESCAFE CLASSIC DE 50G;6181002001920;;BOITE;1 400,00;5;27,00;0,00;0,00;0,00;0,00;0;0;1250
11;NURSIE N°1 DE 400G;10455539;;BOITE;3 500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;3042
12;France LAIT N°2 400G;3043931261116;;BOITE;3 950,00;2;4,00;0,00;0,00;0,00;0,00;0;0;3750
13;MAYONNAISE BAMA DE 226ML;8410300572053;;BOUTEILLE;850,00;5;12,00;0,00;0,00;0,00;0,00;0;0;771
14;MAYONNAISE BAMA DE 385ML;8410300367680;;BOUTEILLE;1 350,00;5;13,00;0,00;0,00;0,00;0,00;0;0;1188
15;VINAIGRE REGAL ROUGE DE 1L;6186000118014;;BIDON;850,00;5;9,00;0,00;0,00;0,00;0,00;0;0;500
